name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
southampton,2017-01-16,8.7,4.6,6.8,6.8,1.8,4.8,6.4,97.54,4.02,,12.5,,,0,,12.4,169.9,1027.3,80.7,6.3,,,0,,2017-01-16T08:01:04,2017-01-16T16:30:16,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-01-17,5.6,0.2,3.6,4.2,-2.2,1.6,1.5,86.23,3.85,,12.5,,,,35.3,11.2,89.7,1035.3,61.1,9.4,,,0,,2017-01-17T08:00:10,2017-01-17T16:31:50,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-01-18,4.6,-2.3,0.6,2.5,-5.2,-1.8,-2.7,79.61,0.4,,9.09,,,,,10.1,58.6,1038.2,10.7,12.9,,,0,,2017-01-18T07:59:14,2017-01-18T16:33:25,0.69,Rain,Clear conditions throughout the day with rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-01-19,6.3,-1.7,1.6,3.4,-5.2,-1.6,-3.2,72.03,0,,0,,,,,16.9,65.5,1036.3,14.8,16.1,,,0,,2017-01-19T07:58:15,2017-01-19T16:35:02,0.73,Clear,Clear conditions throughout the day.,clear-day,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-01-20,5.6,-0.9,1.5,1.8,-5.2,-2.3,-2.9,73.58,0,,0,,,,50,20.9,54.1,1032.3,1.7,18.9,,,0,,2017-01-20T07:57:14,2017-01-20T16:36:40,0.78,Clear,Clear conditions throughout the day.,clear-day,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-01-21,3.1,-2.5,0.2,-0.3,-6.3,-3.2,-3,79.68,0,,0,,,,,17.1,70.3,1027.2,25.6,14.5,,,0,,2017-01-21T07:56:10,2017-01-21T16:38:19,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-01-22,7,-2.3,1,5.3,-5.2,-1.3,-0.6,89.5,0,,0,,,,,10.1,78.7,1026.7,11.6,4.3,,,0,,2017-01-22T07:55:03,2017-01-22T16:39:58,0.87,Clear,Clear conditions throughout the day.,clear-day,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-01-23,3.3,-2.2,0.5,3.3,-4,0.3,0.2,98.26,1.13,,8.33,,,,,5.5,79.2,1028.5,31.3,0.7,,,0,,2017-01-23T07:53:54,2017-01-23T16:41:39,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-01-24,5.3,-2.4,0.6,5.3,-2.4,0.6,0.3,98.31,0.6,,12.5,,,,,4.6,118.6,1028.6,23.3,1.3,,,0,,2017-01-24T07:52:42,2017-01-24T16:43:21,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-01-25,6.1,-0.2,2.1,3.1,-2.6,0.2,1.3,94.63,0.99,,12.5,,,0,46.4,19.8,93.4,1026.9,39.9,4.9,,,0,,2017-01-25T07:51:28,2017-01-25T16:45:04,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-01-26,2.5,0.5,1.3,-2.6,-4.6,-3.7,-0.6,87.16,0,,0,,,0,48.2,25,114.8,1018.3,65.7,6.8,,,0,,2017-01-26T07:50:12,2017-01-26T16:46:47,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-01-27,7,1.3,4.7,4.3,-3.2,1.2,3.2,90.26,2.65,,8.33,,,,48.2,21.6,120.8,1009.1,68.2,6.3,,,0,,2017-01-27T07:48:53,2017-01-27T16:48:31,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-01-28,8.7,3.5,6.5,5.8,0.4,3.6,4.4,86.76,2.63,,12.5,,,,50.9,24.2,207.2,1010.1,50.4,22.6,,,0,,2017-01-28T07:47:32,2017-01-28T16:50:15,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-01-29,10.1,3.5,6.7,10.1,1.1,3.9,6.1,95.51,14.61,,16.67,,,,56,28.2,193.6,1011.4,69,15.3,,,0,,2017-01-29T07:46:09,2017-01-29T16:52:00,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-01-30,9.5,7.5,8.7,8.4,4.8,7,8.5,98.66,3.48,,12.5,,,0,,16,161.2,1010.3,81,6,,,0,,2017-01-30T07:44:44,2017-01-30T16:53:46,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-01-31,10.6,7.1,8.9,10.6,4.1,7.2,8.8,99.03,12.84,,16.67,,,0,,18.4,134.2,1011.5,82.9,3.6,,,0,,2017-01-31T07:43:17,2017-01-31T16:55:32,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-02-01,10.2,8.5,9.5,10.2,6.4,7.6,9,96.92,10.03,,12.5,,,,46.4,24.8,186.1,1006.1,76.3,9.9,,,0,,2017-02-01T07:41:48,2017-02-01T16:57:18,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-02-02,10.8,9.1,9.9,10.8,5.5,7.6,8.4,90.53,10.02,,12.5,,,1,59.4,32.8,168.8,995.9,75.2,10.2,,,0,,2017-02-02T07:40:16,2017-02-02T16:59:05,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-02-03,9.3,4.2,7.2,5.8,-0.7,3.4,5.5,88.84,6.3,,16.67,,,0,81.5,46.9,181.6,993.9,59.4,14.5,,,0,,2017-02-03T07:38:43,2017-02-03T17:00:52,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-02-04,8.6,3,5,7.4,1.1,3.3,3,87.74,5.68,,12.5,,,,53.6,19,190.7,997,57.4,20.3,,,0,,2017-02-04T07:37:08,2017-02-04T17:02:39,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-02-05,6.8,1.6,4,3.8,-1.6,1,2.9,92.78,3.93,,8.33,,,,,21.4,177.2,1003.2,61.1,15.6,,,0,,2017-02-05T07:35:31,2017-02-05T17:04:26,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-02-06,6.7,-1,3.2,3.3,-2.7,0.7,2,91.69,2.01,,8.33,,,,42.5,25.5,159.8,1016.8,56.2,8.8,,,0,,2017-02-06T07:33:53,2017-02-06T17:06:14,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-02-07,9.9,3.3,6.6,7.9,0.7,4.5,4.7,88.37,4.92,,12.5,,,,,19.4,259.2,1014.4,47.8,14.1,,,0,,2017-02-07T07:32:12,2017-02-07T17:08:01,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-02-08,6.1,2.3,4.1,4,-0.6,1.5,2.3,88.42,2.7,,12.5,,,0,,13.7,211.3,1025.9,63,14.6,,,0,,2017-02-08T07:30:30,2017-02-08T17:09:49,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-02-09,2.6,1.1,1.8,-0.9,-3.1,-2.2,-0.4,85.21,0,,0,,,0,,22,53,1026.7,81.9,9.4,,,0,,2017-02-09T07:28:46,2017-02-09T17:11:37,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-02-10,2.3,0.3,1.6,-2,-3.4,-2.7,0,89.56,0.2,,4.17,,,,,20.1,60.8,1023.5,79.6,5.8,,,0,,2017-02-10T07:27:01,2017-02-10T17:13:24,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-02-11,2.1,0.7,1.3,-1.9,-4,-3.2,-0.7,86.42,0.4,,8.33,,,,,20.3,140.5,1022.7,73.5,9.2,,,0,,2017-02-11T07:25:14,2017-02-11T17:15:12,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-02-12,5.8,2,3,1.1,-2.6,-1.6,1.1,87.72,0.4,,8.33,,,,63,30,55.5,1020.9,77.5,6.4,,,0,,2017-02-12T07:23:26,2017-02-12T17:16:59,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-02-13,10.2,4.4,6.5,10.2,-0.2,2.5,2.8,77.74,0,,0,,,,70.6,34.1,75.7,1018.6,22.3,8.2,,,0,,2017-02-13T07:21:37,2017-02-13T17:18:46,0.53,Partially cloudy,Partly cloudy throughout the day.,wind,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-02-14,8.8,3.7,6.6,7.6,-0.6,3.7,4.9,89.14,2,,4.17,,,,53.6,20.6,100.8,1021.7,67.2,6.7,,,0,,2017-02-14T07:19:46,2017-02-14T17:20:34,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-02-15,9.5,7,8.1,7.6,4.5,6.1,7.7,97.17,4.93,,12.5,,,,,14.8,171.3,1027.6,56.5,8.9,,,0,,2017-02-15T07:17:53,2017-02-15T17:22:21,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
