name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
southampton,2018-01-01,7.8,5.8,6.9,4.8,1.6,3.2,4,81.82,8.16,,16.67,,,,66.6,33.6,255.2,1000.8,42.8,20.7,,,0,,2018-01-01T08:08:27,2018-01-01T16:10:06,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2018-01-02,12.2,4.6,8.3,12.2,1.9,6.5,6.7,89.72,1.61,,4.17,,,,82.8,56.1,224.8,1006.1,64.7,11.3,,,0,,2018-01-02T08:08:20,2018-01-02T16:11:09,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2018-01-03,10.8,7.3,8.6,10.8,2.1,4.9,4.2,73.84,9.75,,16.67,,,,96.1,48.8,262.3,999.5,58.3,14.2,,,0,,2018-01-03T08:08:11,2018-01-03T16:12:16,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2018-01-04,11.9,7,8.8,11.9,3.6,6.7,6.2,84.42,6.3,,12.5,,,,82,54.8,241.8,995.9,60.8,15.3,,,0,,2018-01-04T08:07:57,2018-01-04T16:13:24,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2018-01-05,8.1,4.1,6.5,4.1,2.1,3.3,3.8,83.09,3.4,,12.5,,,,70.6,31.5,207.8,995.2,54.7,21.2,,,0,,2018-01-05T08:07:41,2018-01-05T16:14:35,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2018-01-06,5,2.8,4,1.5,-1.6,0.1,2.2,87.81,1.12,,12.5,,,,46.4,25.6,72,1008.5,59.9,17.9,,,0,,2018-01-06T08:07:22,2018-01-06T16:15:49,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2018-01-07,5.2,1.8,3,0.1,-3.8,-2.4,-1.1,74.46,0,,0,,,,61.3,35.1,45.4,1023.1,16.1,26.3,,,0,,2018-01-07T08:06:59,2018-01-07T16:17:04,0.68,Clear,Clear conditions throughout the day.,wind,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2018-01-08,4,2,3.5,0.1,-3.3,-0.8,1.6,87.14,0,,0,,,,64.8,27.7,72.3,1019.9,82.5,15.2,,,0,,2018-01-08T08:06:33,2018-01-08T16:18:22,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2018-01-09,8.5,3.9,5.7,5.8,0.1,2.8,4.8,93.8,0.2,,4.17,,,,,18.4,119.6,1006.7,83.6,5.6,,,0,,2018-01-09T08:06:04,2018-01-09T16:19:42,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2018-01-10,9.5,1.2,6.2,8.9,-1.4,4.5,5,92.48,0.31,,4.17,,,,59.4,22.1,196,1005,26.2,11.8,,,0,,2018-01-10T08:05:32,2018-01-10T16:21:04,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
